exam_key,internalQuestionId,question_text,question_generated
finra-s14,F3Y5EA9CFD,"According to FINRA regulations, under what circumstances can a member firm share a customer's nonpublic personal information?",1689115104
finra-s14,IOC4FTXBPX,"According to FINRA regulations, what does a member firm need to establish in order to meet the standards for electronic communications retained and supervised on a risk-based monitoring system?",1689115126
finra-s14,Z2RF933CF2,"According to FINRA regulations, what requirements are there for a broker-dealer organization regarding the prevention of insider trading?",1689132554
finra-s14,FTWADZNG6M,"According to FINRA regulations, what steps should be taken by a broker-dealer in case of a potential insider trading violation?",1689132527
finra-s14,DNCYUL1600,"According to FINRA rules, under what conditions can a member firm accept an order to purchase or sell a security from a customer who is not present at a premises?",1689115114
finra-s14,4IARVRVJ5Z,"According to FINRA rules, what obligations does a broker/dealer have in assessing the suitability of a security recommendation to a customer?",1689115097
finra-s14,W800UGDUW3,"According to FINRA, how is a “Day Order” in trading defined and when does it expire?",1689115097
finra-s14,BA1NKEVE1H,"According to FINRA, what steps must be followed for a broker-dealer to be compliant with Customer Identification Program (CIP) requirements?",1689132554
finra-s14,WP95MI3WT3,"According to the Anti-Money Laundering Compliance Program (FINRA Rule 3310), what obligations should a Compliance Officer enforce to prevent, detect and report suspicious transactions?",1689132625
finra-s14,GDO9PA39IZ,"According to the requirements of FINRA Rule 3310, what are the essential parts of an Anti-Money Laundering (AML) Compliance Program for broker-dealer firms?",1689132574
finra-s14,9LZO385V47,"As established by FINRA's regulations, what steps must a broker-dealer follow to comply with Customer Identification Program (CIP) requirements?",1689132574
finra-s14,A11J7UYBYO,"As per the Trading Ahead of Research Reports rule (FINRA Rule 5280), what considerations should a Compliance Officer emphasize to avoid potential conflicts of interest?",1689132599
finra-s14,8DX87NEUH3,"As stipulated under the FINRA Rule 2090 (Know Your Customer), what obligations is a broker-dealer subject to in relation to understanding the essential facts about a customer?",1689132599
finra-s14,OS5J3M2YDR,Describe the obligations of a broker-dealer in regards to reporting material operational issues to FINRA?,1689132527
finra-s14,AEFN4S39Y6,How are trade reports for OTC transactions in Equity Securities submitted according to FINRA Rule 6622?,1689115082
finra-s14,CWFIXMIE7Z,"How does FINRA define ""institutional investor"" in its rules relating to communications with the public?",1689115089
finra-s14,ICG2JF4GGE,How does FINRA's Know Your Customer Rule (Rule 2090) affect the due diligence needed when establishing accounts for new customers?,1689132574
finra-s14,EACS4XS6MO,How does Regulation SHO Rule (Rule 203) maintain the integrity of stock market dealings by regulating the threshold list for stocks that fail to deliver?,1689132574
finra-s14,70RAZIF0FH,How does the Financial Crimes Enforcement Network (FinCEN) contribute to the regulation of Financial Industry Regulatory Authority (FINRA) member firms?,1689132554
finra-s14,PN217ZG503,How does the USA PATRIOT Act relate to the Anti-Money Laundering (AML) programs of broker-dealer firms?,1689132527
finra-s14,QX6VD83195,"How is 'associated person' defined in the context of FINRA rules and regulations, and what obligations does it impose?",1689115104
finra-s14,ZZAI3GX5AM,How is the Regulation SHO Rule (Rule 203) implicated in maintaining the threshold list for stocks that fail to deliver?,1689132554
finra-s14,Y0A4YF51AE,How should a firm deal with material non-public information as per FINRA rules?,1689115097
finra-s14,BEZHZC6LII,How would a broker-dealer determine if a potential transaction meets the suitability requirements according to FINRA Rule 2111?,1689132625
finra-s14,PMSS7ZJDJJ,How would a Compliance Officer interpret the requirements under FINRA Rule 3150 (Automated Systems and Program Interface) in the context of broker-dealer firms' activities in the automated environment?,1689132599
finra-s14,CAQ1KDSPHA,"In accordance with the Business Continuity Plans and Emergency Contact Information (FINRA Rule 4370), what measures must a broker-dealer firm implement in the event of significant business disruption?",1689132625
finra-s14,DH6E822UGO,"In relation to FINRA rules, how is the 'know your customer' obligation defined and what responsibility does it impose on the member firm?",1689115126
finra-s14,DEQFKQTXSA,"In relation to the Regulation SHO Rule (Rule 203), what actions must a broker-dealer take to monitor and manage stocks that consistently fail to deliver?",1689132625
finra-s14,7CTG0QPWNE,"In terms of the Limitation on Borrowing rule (FINRA Rule 3240), what conditions should Compliance Officers enforce with regards to registered persons borrowing from or lending to customers?",1689132599
